id,question,answer,context,difficulty
1164,Где публикуются сведения о копиях заблокированных сайтов?,Сведения о копиях заблокированных сайтов размещаются на официальном сайте федерального органа исполнительной власти.,"Сведения о копиях заблокированных сайтов размещаются на официальном сайте федерального органа исполнительной власти, осуществляющего функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, в сети 'Интернет'.",easy
1165,Какая структура осуществляет публикацию информации о копиях заблокированных сайтов?,"Информация о копиях заблокированных сайтов публикуется на официальном сайте федерального органа исполнительной власти, который отвечает за контроль и надзор в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи.","Сведения о копиях заблокированных сайтов размещаются на официальном сайте федерального органа исполнительной власти, осуществляющего функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, в сети 'Интернет'.",medium
1166,Что определяет ввод в эксплуатацию объектов капитального строительства?,Ввод в эксплуатацию объектов капитального строительства определяется в соответствии с Федеральным законом от 24.11.2014 N 364-ФЗ.,(введена Федеральным законом от 24.11.2014 N 364-ФЗ),easy
1167,Каким документом регулируется порядок ввода в эксплуатацию объектов капитального строительства?,Порядок ввода в эксплуатацию объектов капитального строительства регулируется Федеральным законом от 24.11.2014 N 364-ФЗ.,(введена Федеральным законом от 24.11.2014 N 364-ФЗ),easy
1168,Каким образом правообладатель может сообщить о нарушении авторских прав в сети 'Интернет'?,Правообладатель вправе направить владельцу сайта в сети 'Интернет' в письменной или электронной форме заявление о нарушении авторских и (или) смежных прав.,"Правообладатель в случае обнаружения в информационно-телекоммуникационных сетях, в том числе в сети 'Интернет', сайта в сети 'Интернет', на котором без его разрешения или иного законного основания размещена информация, содержащая объекты авторских и (или) смежных прав, или информация, необходимая для их получения с использованием информационно-телекоммуникационных сетей, в том числе сети 'Интернет', вправе направить владельцу сайта в сети 'Интернет' в письменной или электронной форме заявление о нарушении авторских и (или) смежных прав (далее - заявление).",medium
1169,Кто может подать заявление о нарушении авторских прав в сети 'Интернет'?,"Заявление может быть направлено лицом, уполномоченным правообладателем в соответствии с законодательством Российской Федерации.","Заявление может быть направлено лицом, уполномоченным правообладателем в соответствии с законодательством Российской Федерации.",easy
1170,Какие сведения необходимо указать в заявлении о нарушении авторских прав?,"В заявлении необходимо указать сведения о правообладателе или лице, уполномоченном правообладателем, включая фамилию, имя, отчество, паспортные данные, контактную информацию, наименование, место нахождения и адрес, контактную информацию.","Заявление должно содержать: 1) сведения о правообладателе или лице, уполномоченном правообладателем (если заявление направляется таким лицом) (далее - заявитель): а) для физического лица - фамилию, имя, отчество, паспортные данные (серия и номер, кем выдан, дата выдачи), контактную информацию (номера телефона и (или) факса, адрес электронной почты); б) для юридического лица - наименование, место нахождения и адрес, контактную информацию (номера телефона и (или) факса, адрес электронной почты);",medium
1171,Что должно быть указано в заявлении относительно использования объекта авторских прав на сайте в интернете без разрешения правообладателя?,"В заявлении необходимо указать, что информация, содержащая объект авторских и (или) смежных прав, размещенная на сайте в интернете без разрешения правообладателя, нарушает закон.","2) информацию об объекте авторских и (или) смежных прав, размещенном на сайте в сети 'Интернет' без разрешения правообладателя или иного законного основания; 3) указание на доменное имя и (или) сетевой адрес сайта в сети 'Интернет', на котором без разрешения правообладателя или иного законного основания размещена информация, содержащая объект авторских и (или) смежных прав, или информация, необходимая для его получения с использованием информационно-телекоммуникационных сетей, в том числе сети 'Интернет';",easy
1172,"Что необходимо приложить к заявлению, если оно подается уполномоченным лицом?","К заявлению, поданному уполномоченным лицом, прикладывается копия документа, подтверждающего его полномочия.","В случае, если заявление подается уполномоченным лицом, к заявлению прикладывается копия документа (в письменной или электронной форме), подтверждающего его полномочия.",easy
1173,"В какой форме может быть предоставлена копия документа, подтверждающая полномочия?","Копия документа, подтверждающая полномочия, может быть предоставлена как в письменной, так и в электронной форме.","В случае, если заявление подается уполномоченным лицом, к заявлению прикладывается копия документа (в письменной или электронной форме), подтверждающего его полномочия.",medium
1174,"Каков максимальный срок, в течение которого владелец сайта обязан уведомить заявителя об уточнении представленных сведений?",Владелец сайта вправе направить заявителю уведомление об уточнении представленных сведений в течение двадцати четырех часов с момента получения заявления.,"В случае обнаружения неполноты сведений, неточностей или ошибок в заявлении владелец сайта вправе направить заявителю в течение двадцати четырех часов с момента получения заявления уведомление об уточнении представленных сведений.",easy
1175,Может ли владелец сайта отправить уведомление об уточнении сведений несколько раз?,Указанное уведомление может быть направлено заявителю однократно.,"В случае обнаружения неполноты сведений, неточностей или ошибок в заявлении владелец сайта вправе направить заявителю в течение двадцати четырех часов с момента получения заявления уведомление об уточнении представленных сведений. Указанное уведомление может быть направлено заявителю однократно.",medium
1176,В течение какого времени заявитель обязан принять меры по уточнению сведений?,"В течение двадцати четырех часов с момента получения уведомления, указанного в части 4 настоящей статьи.","В течение двадцати четырех часов с момента получения уведомления, указанного в части 4 настоящей статьи, заявитель принимает меры, направленные на восполнение недостающих сведений, устранение неточностей и ошибок, и направляет владельцу сайта в сети 'Интернет' уточненные сведения.",easy
1177,Какие действия должен предпринять заявитель после получения уведомления?,"Заявитель принимает меры, направленные на восполнение недостающих сведений, устранение неточностей и ошибок, и направляет владельцу сайта в сети 'Интернет' уточненные сведения.","В течение двадцати четырех часов с момента получения уведомления, указанного в части 4 настоящей статьи, заявитель принимает меры, направленные на восполнение недостающих сведений, устранение неточностей и ошибок, и направляет владельцу сайта в сети 'Интернет' уточненные сведения.",medium
1178,Как долго владелец сайта в сети 'Интернет' должен удалить информацию после получения заявления?,В течение двадцати четырех часов с момента получения заявления.,"В течение двадцати четырех часов с момента получения заявления или уточненных заявителем сведений (в случае направления заявителю уведомления, указанного в части 4 настоящей статьи) владелец сайта в сети 'Интернет' удаляет указанную в части 1 настоящей статьи информацию.",easy
1179,В какой ситуации владелец сайта должен удалить информацию в течение 24 часов?,Владелец сайта должен удалить информацию в течение 24 часов с момента получения заявления или уточненных заявителем сведений.,"В течение двадцати четырех часов с момента получения заявления или уточненных заявителем сведений (в случае направления заявителю уведомления, указанного в части 4 настоящей статьи) владелец сайта в сети 'Интернет' удаляет указанную в части 1 настоящей статьи информацию.",medium
1180,"Какие доказательства может предоставить владелец сайта, если у него есть правомерно размещенная информация?","Владелец сайта вправе предоставить доказательства, подтверждающие правомерность размещения информации, содержащей объект авторских и (или) смежных прав, или информацию, необходимую для его получения.","При наличии у владельца сайта в сети 'Интернет' доказательств, подтверждающих правомерность размещения на принадлежащем ему сайте в сети 'Интернет' информации, содержащей объект авторских и (или) смежных прав, или информации, необходимой для его получения с использованием информационно-телекоммуникационных сетей, в том числе сети 'Интернет', владелец сайта в сети 'Интернет' вправе не принимать предусмотренные частью 6 настоящей статьи меры и обязан направить заявителю соответствующее уведомление с приложением указанных доказательств.",medium
1181,"Что обязан делать владелец сайта в случае, если у него есть доказательства правомерности размещения информации?","Владелец сайта обязан направить заявителю соответствующее уведомление, приложив к нему указанные доказательства.","При наличии у владельца сайта в сети 'Интернет' доказательств, подтверждающих правомерность размещения на принадлежащем ему сайте в сети 'Интернет' информации, содержащей объект авторских и (или) смежных прав, или информации, необходимой для его получения с использованием информационно-телекоммуникационных сетей, в том числе сети 'Интернет', владелец сайта в сети 'Интернет' вправе не принимать предусмотренные частью 6 настоящей статьи меры и обязан направить заявителю соответствующее уведомление с приложением указанных доказательств.",easy
1182,К кому распространяются правила настоящей статьи?,"Правила настоящей статьи в равной степени распространяются на правообладателя и на лицензиата, получившего исключительную лицензию на объект авторских и (или) смежных прав.","8. Правила настоящей статьи в равной степени распространяются на правообладателя и на лицензиата, получившего исключительную лицензию на объект авторских и (или) смежных прав.",easy
1183,Какая ответственность возлагается на правообладателя согласно данной статье?,"Правообладатель также подпадает под действие правил данной статьи, особенно при наличии исключительной лицензии.","8. Правила настоящей статьи в равной степени распространяются на правообладателя и на лицензиата, получившего исключительную лицензию на объект авторских и (или) смежных прав.",medium
1184,Что введено Федеральным законом от 29.07.2017 N 276-ФЗ?,Введено Федеральным законом от 29.07.2017 N 276-ФЗ.,(введена Федеральным законом от 29.07.2017 N 276-ФЗ),easy
1185,Каким образом введён Федеральный закон от 29.07.2017 N 276-ФЗ?,Федеральный закон от 29.07.2017 N 276-ФЗ был введен Федеральным законом.,(введена Федеральным законом от 29.07.2017 N 276-ФЗ),medium
1186,Какова обязанность владельцев программно-аппаратных средств доступа к информационным ресурсам?,"Владельцы программно-аппаратных средств доступа к информационным ресурсам запрещены от предоставлять возможность использования на территории Российской Федерации принадлежащих им информационно-телекоммуникационных сетей и информационных ресурсов для доступа к ресурсам, ограниченным на территории РФ.","Владельцам информационно-телекоммуникационных сетей, информационных ресурсов (сайт в сети 'Интернет' и (или) страница сайта в сети 'Интернет', информационная система, программа для электронных вычислительных машин), посредством которых обеспечивается доступ к информационным ресурсам, информационно-телекоммуникательным сетям, доступ к которым ограничен на территории Российской Федерации в соответствии с настоящим Федеральным законом (далее также - владелец программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникательным сетям, доступ к которым ограничен), запрещается предоставлять возможность использования на территории Российской Федерации принадлежащих им информационно-телекоммуникационных сетей и информационных ресурсов для получения доступа к информационным ресурсам, информационно-телекоммуникательным сетям, доступ к которым ограничен на территории Российской Федерации в соответствии с настоящим Федеральным законом.",medium
1187,"Что запрещено делать владельцам информационно-телекоммуникационных сетей, если доступ к ресурсам ограничен в России?","Они не могут предоставлять возможность использования принадлежащих им сетей и ресурсов для доступа к ресурсам, ограниченным на территории Российской Федерации.","Владельцам информационно-телекоммуникационных сетей, информационных ресурсов (сайт в сети 'Интернет' и (или) страница сайта в сети 'Интернет', информационная система, программа для электронных вычислительных машин), посредством которых обеспечивается доступ к информационным ресурсам, информационно-телекоммуникательным сетям, доступ к которым ограничен на территории Российской Федерации в соответствии с настоящим Федеральным законом (далее также - владелец программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникательным сетям, доступ к которым ограничен), запрещается предоставлять возможность использования на территории Российской Федерации принадлежащих им информационно-телекоммуникационных сетей и информационных ресурсов для получения доступа к информационным ресурсам, информационно-телекоммуникательным сетям, доступ к которым ограничен на территории Российской Федерации в соответствии с настоящим Федеральным законом.",easy
1188,"Какие функции выполняет федеральный орган исполнительной власти в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи?","Федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, осуществляет создание и эксплуатацию федеральной государственной информационной системы, содержит перечень информационных ресурсов, информационно-телекоммуникационных сетей, доступ к которым ограничен на территории Российской Федерации в соответствии с настоящим Федеральным законом.","1) осуществляет создание и эксплуатацию федеральной государственной информационной системы, содержащей перечень информационных ресурсов, информационно-телекоммуникационных сетей, доступ к которым ограничен на территории Российской Федерации в соответствии с настоящим Федеральным законом (далее - федеральная государственная информационная система информационных ресурсов информационно-телекоммуникационных сетей, доступ к которым ограничен);",medium
1189,Какое уведомление направляется провайдеру хостинга?,"Провайдеру хостинга направляется уведомление на русском и английском языках о необходимости предоставления данных, позволяющих идентифицировать владельца программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен.","4) направляет провайдеру хостинга или иному указанному в пункте 3 настоящей части лицу уведомление в электронном виде на русском и английском языках о необходимости предоставления данных, позволяющих идентифицировать владельца программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен, или о необходимости уведомления владельца программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникальным сетям, доступ к которым ограничен, о необходимости размещения указанных данных на сайте в сети 'Интернет' такого владельца;",medium
1190,Какие функции выполняет федеральный орган исполнительной власти в сфере средств массовой информации и коммуникаций в целях противодействия доступу к ограниченным информационным ресурсам?,"Федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, создает и эксплуатирует федеральную государственную информационную систему, взаимодействует с правоохранительными органами и определяет провайдера хостинга.","1) осуществляет создание и эксплуатацию федеральной государственной информационной системы, содержащей перечень информационных ресурсов, информационно-телекоммуникационных сетей, доступ к которым ограничен на территории Российской Федерации в соответствии с настоящим Федеральным законом (далее - федеральная государственная информационная система информационных ресурсов информационно-телекоммуникационных сетей, доступ к которым ограничен); 2) в порядке, установленном Правительством Российской Федерации, взаимодействует с федеральными органами исполнительной власти, осуществляющими оперативно-разыскную деятельность или обеспечение безопасности Российской Федерации, в целях получения информации о программно-аппаратных средствах доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен; 3) на основании обращения федерального органа исполнительной власти, осуществляющего оперативно-разыскную деятельность или обеспечение безопасности Российской Федерации, определяет провайдера хостинга или иное лицо, обеспечивающее размещение в сети 'Интернет' программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен; ",medium
1191,Какое уведомление направляется провайдеру хостинга в случае необходимости идентифицировать владельца ограниченного ресурса?,"Провайдеру хостинга направляется уведомление на русском и английском языках, требующее предоставления данных, позволяющих идентифицировать владельца программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен, или о необходимости уведомления владельца об этом.","4) направляет провайдеру хостинга или иному указанному в пункте 3 настоящей части лицу уведомление в электронном виде на русском и английском языках о необходимости предоставления данных, позволяющих идентифицировать владельца программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен, или о необходимости уведомления владельца программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникальным сетям, доступ к которым ограничен, о необходимости размещения указанных данных на сайте в сети 'Интернет' такого владельца; ",medium
1192,В течение какого срока провайдер хостинга обязан предоставить информацию после получения уведомления?,Провайдер хостинга или иное указанное в пункте 3 части 2 настоящей статьи лицо обязаны предоставить информацию в течение трех рабочих дней со дня получения уведомления.,"В течение трех рабочих дней со дня получения уведомления, указанного в пункте 4 части 2 настоящей статьи, провайдер хостинга или иное указанное в пункте 3 части 2 настоящей статьи лицо обязаны предоставить информацию о совершении действий, предусмотренных таким уведомлением.",easy
1193,Какие действия должны быть предприняты провайдером хостинга после получения уведомления?,"Провайдер хостинга или иное указанное в пункте 3 части 2 настоящей статьи лицо обязаны предоставить информацию о совершении действий, предусмотренных таким уведомлением.","В течение трех рабочих дней со дня получения уведомления, указанного в пункте 4 части 2 настоящей статьи, провайдер хостинга или иное указанное в пункте 3 части 2 настоящей статьи лицо обязаны предоставить информацию о совершении действий, предусмотренных таким уведомлением.",medium
1194,"Какие языки должны быть указаны в требовании, направленном владельцу программно-аппаратных средств доступа к информационным ресурсам?",Требование должно быть направлено на русском и английском языках.,"В течение трех рабочих дней со дня получения данных, позволяющих идентифицировать владельца программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен, или самостоятельного выявления таких данных федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, указанный федеральный орган исполнительной власти направляет этому владельцу на русском и английском языках требование о необходимости подключения такого владельца к федеральной государственной информационной системе информационных ресурсов, информационно-телекоммуникационных сетей, доступ к которым ограничен.",medium
1195,"В течение какого срока после получения данных, позволяющих идентифицировать владельца, федеральный орган должен направить требование?","Федеральный орган должен направить требование в течение трех рабочих дней после получения данных, позволяющих идентифицировать владельца.","В течение трех рабочих дней со дня получения данных, позволяющих идентифицировать владельца программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен, или самостоятельного выявления таких данных федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, указанный федеральный орган исполнительной власти направляет этому владельцу на русском и английском языках требование о необходимости подключения такого владельца к федеральной государственной информационной системе информационных ресурсов, информационно-телекоммуникационных сетей, доступ к которым ограничен.",easy
1196,В течение какого срока владелец программно-аппаратных средств доступа обязан подключиться к федеральной государственной информационной системе?,"В течение тридцати рабочих дней со дня направления требования, указанного в части 4 настоящей статьи.","В течение тридцати рабочих дней со дня направления требования, указанного в части 4 настоящей статьи, владелец программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен, обязан подключиться к федеральной государственной информационной системе информационных ресурсов, информационно-телекоммуникационных сетей, доступ к которым ограничен, в порядке , установленном федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи.",medium
1197,Кто обязан подключиться к федеральной государственной информационной системе?,"Владелец программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен.","В течение тридцати рабочих дней со дня направления требования, указанного в части 4 настоящей статьи, владелец программно-аппаратных средств доступа к информационным ресурсам, информационно-телекоммуникационным сетям, доступ к которым ограничен, обязан подключиться к федеральной государственной информационной системе информационных ресурсов, информационно-телекоммуникационных сетей, доступ к которым ограничен, в порядке , установленном федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи.",easy
1198,В течение какого срока оператор поисковой системы обязан подключиться к федеральной государственной информационной системе в случае требования от федерального органа исполнительной власти?,Оператор поисковой системы обязан подключиться в течение тридцати рабочих дней со дня получения указанного требования.,"По требованию федерального органа исполнительной власти, осуществляющего функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, к федеральной государственной информационной системе информационных ресурсов, информационно-телекоммуникационных сетей, доступ к которым ограничен, также обязан подключиться оператор поисковой системы в течение тридцати рабочих дней со дня получения указанного требования.",medium
1199,Кто обязан подключиться к федеральной государственной информационной системе в соответствии с текстом?,Оператор поисковой системы обязан подключиться к федеральной государственной информационной системе.,"По требованию федерального органа исполнительной власти, осуществляющего функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, к федеральной государственной информационной системе информационных ресурсов, информационно-телекоммуникационных сетей, доступ к которым ограничен, также обязан подключиться оператор поисковой системы в течение тридцати рабочих дней со дня получения указанного требования.",easy
